# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
gene	protein_coding	GCA_000359525.1	Primary Assembly	chromosome		CP004370.1	536	1609	-							XNR_0001	1074		
CDS	with_protein	GCA_000359525.1	Primary Assembly	chromosome		CP004370.1	536	1609	-	AGI86409.1			Hypothetical protein			XNR_0001	1074	357	
gene	pseudogene	GCA_000359525.1	Primary Assembly	chromosome		CP004370.1	2905	3533	-							XNR_0002	629		pseudo
gene	protein_coding	GCA_000359525.1	Primary Assembly	chromosome		CP004370.1	3671	4441	-							XNR_0003	771		
CDS	with_protein	GCA_000359525.1	Primary Assembly	chromosome		CP004370.1	3671	4441	-	AGI86410.1			transposase for insertion sequence element IS112			XNR_0003	771	256	
gene	protein_coding	GCA_000359525.1	Primary Assembly	chromosome		CP004370.1	4485	5069	-							XNR_0004	585		
CDS	with_protein	GCA_000359525.1	Primary Assembly	chromosome		CP004370.1	4485	5069	-	AGI86411.1			Hypothetical protein			XNR_0004	585	194	
gene	protein_coding	GCA_000359525.1	Primary Assembly	chromosome		CP004370.1	5066	5932	-							XNR_0005	867		
CDS	with_protein	GCA_000359525.1	Primary Assembly	chromosome		CP004370.1	5066	5932	-	AGI86412.1			dihydrolipoamide S-succinyltransferase			XNR_0005	867	288	
gene	protein_coding	GCA_000359525.1	Primary Assembly	chromosome		CP004370.1	6989	8029	-							XNR_0006	1041		
CDS	with_protein	GCA_000359525.1	Primary Assembly	chromosome		CP004370.1	6989	8029	-	AGI86413.1			hypothetical protein			XNR_0006	1041	346	
gene	protein_coding	GCA_000359525.1	Primary Assembly	chromosome		CP004370.1	8193	8672	-							XNR_0007	480		
CDS	with_protein	GCA_000359525.1	Primary Assembly	chromosome		CP004370.1	8193	8672	-	AGI86414.1			thioesterase			XNR_0007	480	159	
gene	protein_coding	GCA_000359525.1	Primary Assembly	chromosome		CP004370.1	8669	9700	-							XNR_0008	1032		
